,rating
0,6
1,6
2,5
3,6
4,7
5,4
6,7
7,7
8,6
9,8
10,8
11,7
12,9
13,7
14,7
15,5
16,6
17,8
18,6
19,7
20,8
21,5
22,5
23,8
24,6
25,5
26,5
27,8
28,7
29,8
30,7
31,9
32,8
33,8
34,8
35,8
36,7
37,7
38,9
39,7
40,7
41,7
42,6
43,9
44,4
45,8
46,6
47,5
48,7
49,4
50,7
51,7
52,9
53,7
54,8
55,9
56,2
57,8
58,6
59,8
60,5
61,5
62,9
63,6
64,6
65,6
66,10
67,7
68,8
69,6
70,5
71,9
72,6
73,6
74,8
75,7
76,8
77,6
78,8
79,7
80,7
81,8
82,7
83,7
84,6
85,5
86,8
87,8
88,7
89,7
90,4
91,6
92,5
93,3
94,7
95,9
96,7
98,8
99,8
100,7
101,3
102,4
103,8
104,10
105,6
106,7
107,8
108,8
109,8
110,6
111,7
112,6
113,7
114,5
115,8
116,6
117,7
118,8
119,6
120,6
121,7
122,7
123,7
124,8
125,7
126,8
127,5
128,9
129,8
130,7
131,8
132,8
133,6
134,6
135,7
136,7
137,8
138,8
139,8
140,7
141,9
142,6
143,4
144,8
145,6
146,7
147,6
148,8
149,7
150,8
151,4
152,5
153,8
154,6
155,9
156,7
157,7
158,7
159,6
160,8
161,6
162,8
163,8
164,8
165,6
166,7
167,7
168,7
169,9
170,8
171,5
172,6
173,6
174,7
175,6
176,6
177,6
178,4
179,7
180,8
181,5
182,3
183,8
184,8
185,7
186,7
187,9
188,8
189,7
190,6
191,8
192,9
193,8
194,6
195,6
196,8
197,7
198,7
199,6
200,7
201,5
202,6
203,9
204,7
205,7
206,7
207,6
208,7
209,8
210,5
211,9
212,7
213,8
214,7
215,4
216,7
217,7
218,9
219,6
220,4
221,7
222,10
223,8
224,8
225,8
226,6
227,6
228,6
229,8
230,8
231,8
232,7
233,3
234,6
235,8
236,5
237,7
238,7
239,9
240,5
241,7
242,8
243,5
244,5
245,6
246,5
247,7
248,7
249,9
250,8
251,6
252,6
253,4
254,8
255,4
256,7
257,9
258,7
259,8
260,6
261,9
262,7
263,7
264,8
265,8
266,6
267,8
268,8
269,6
270,8
271,7
272,7
273,6
274,6
275,8
276,9
277,8
278,8
279,8
280,6
281,6
282,6
283,8
284,4
285,8
286,6
287,8
288,6
289,9
290,5
291,7
292,8
293,9
294,7
295,5
296,8
297,8
298,10
299,6
300,6
301,8
302,7
303,7
304,7
305,7
306,7
307,9
308,8
309,6
311,7
312,9
313,5
314,5
315,6
316,8
317,5
318,8
319,6
320,8
321,5
322,8
323,5
324,7
325,5
326,6
327,2
328,7
329,4
330,8
331,7
332,8
333,8
334,6
335,9
336,6
337,7
338,9
339,4
340,7
341,5
342,6
343,6
344,5
345,7
346,5
347,8
348,8
349,7
350,9
351,9
352,5
353,8
354,8
355,8
356,9
357,3
358,9
359,8
360,8
361,8
362,9
363,9
364,8
365,4
366,8
367,8
368,8
369,7
370,4
371,7
372,8
373,7
374,7
375,5
376,7
377,7
378,7
379,7
380,7
381,5
382,6
383,7
384,8
385,7
386,8
387,7
388,6
389,5
390,6
391,8
392,8
393,7
394,5
395,8
396,8
397,8
398,8
399,9
400,9
401,6
402,9
403,6
404,7
405,7
406,7
407,9
408,8
409,7
410,8
411,7
412,7
413,8
414,4
415,7
416,8
417,5
418,7
419,8
420,4
421,6
422,6
423,8
424,6
425,7
426,3
427,7
428,8
429,6
430,8
431,9
432,7
433,8
434,7
435,6
436,9
437,8
438,6
439,6
440,7
441,7
442,5
443,7
444,9
445,6
446,10
447,7
448,7
449,7
450,8
451,9
452,8
453,8
454,7
455,5
456,10
457,5
458,5
459,7
460,7
461,6
463,8
464,6
465,8
466,6
467,9
468,6
469,9
470,8
471,6
472,6
473,9
474,9
475,8
476,7
477,7
478,7
479,8
480,10
481,7
482,5
483,7
484,6
485,8
486,8
487,7
488,8
489,8
490,8
491,7
492,7
493,7
494,6
495,8
496,7
497,8
498,8
499,4
500,7
501,8
502,8
503,8
504,9
505,7
506,6
507,6
508,6
509,6
510,6
511,5
512,8
513,6
514,7
515,7
516,4
517,8
518,6
519,6
520,8
521,7
522,8
523,6
524,9
525,5
526,7
527,6
528,3
529,5
530,5
531,5
532,4
533,8
534,7
535,8
536,7
537,8
538,9
539,6
540,6
541,6
542,9
543,9
544,9
545,9
546,7
547,7
548,5
549,8
550,7
551,7
552,8
553,8
554,6
555,7
556,8
557,9
558,8
559,7
560,7
561,8
562,8
563,7
564,8
565,8
566,8
567,8
568,9
569,7
570,7
571,4
572,7
573,6
574,7
575,6
576,6
577,8
578,8
579,8
580,8
581,7
582,7
583,6
584,5
585,7
586,7
587,4
588,5
589,7
590,8
591,9
592,7
593,6
594,10
595,9
596,9
597,9
598,7
599,8
600,8
601,9
602,5
603,8
604,9
605,6
606,6
607,8
608,6
609,7
610,5
611,7
612,7
613,6
614,7
615,7
616,8
617,6
618,7
619,7
620,9
621,5
622,8
623,8
624,8
625,7
626,8
627,6
628,8
629,7
630,7
631,7
632,9
633,9
634,7
635,5
636,3
637,7
638,6
639,5
640,8
641,8
642,7
643,7
644,8
645,6
647,7
648,8
649,7
650,7
651,6
652,5
653,7
654,8
655,9
656,7
657,7
658,8
659,9
660,6
661,7
662,6
663,8
664,8
665,1
666,6
667,8
668,5
669,5
670,7
671,5
672,7
673,8
674,4
675,7
676,6
677,3
678,7
679,6
680,9
681,7
682,7
683,9
684,6
685,8
